name tsdp_9_s500_k14
K 14
stations
# id x y nbp capa ideal
138 99 8 2 5 3
139 24 76 6 6 5
140 59 50 4 13 3
141 51 62 1 10 2
142 63 70 2 14 2
143 11 1 0 9 2
144 57 96 6 13 3
145 33 29 6 7 5
146 30 2 5 6 5
147 27 40 6 15 3
148 91 51 8 9 6
149 30 66 1 11 4
150 84 33 0 15 7
151 12 33 5 5 3
152 89 22 1 5 1
153 59 70 2 6 4
154 64 66 2 5 1
155 56 14 7 9 4
156 89 43 8 14 12
157 13 54 8 9 1
158 1 21 4 10 1
159 12 29 8 11 11
160 54 23 7 12 10
161 66 53 4 10 3
162 41 28 0 13 13
163 64 26 1 7 7
164 55 59 4 11 1
165 26 75 6 8 4
166 95 66 1 15 0
167 33 77 4 10 1
168 33 15 3 8 8
169 17 13 2 11 4
170 32 22 2 14 13
171 66 59 0 6 1
172 30 60 1 11 8
173 35 82 5 15 9
174 35 45 8 11 1
175 99 82 6 14 9
176 11 12 3 8 3
177 55 33 1 8 7
178 78 19 9 11 8
179 53 42 3 5 0
180 21 58 1 13 7
181 77 93 3 6 2
182 84 31 1 10 1
183 22 75 0 11 1
184 38 5 8 8 2
185 95 3 9 9 8
186 62 62 5 9 2
187 22 98 6 14 14
188 64 24 6 6 3
189 91 39 3 7 6
190 6 54 6 10 7
191 0 77 4 11 3
192 74 1 4 12 6
193 82 75 6 10 3
194 26 54 5 7 4
195 33 62 5 6 2
196 35 6 9 10 0
197 87 18 0 7 7
198 9 77 11 11 11
199 76 77 0 7 4
200 19 68 0 7 2
201 44 91 5 10 3
202 99 23 6 6 4
203 46 70 2 11 9
204 95 44 7 11 10
205 73 78 7 7 4
206 13 63 0 9 8
207 53 89 4 9 5
208 26 42 8 8 8
209 56 46 13 14 3
210 79 38 5 11 11
211 77 55 2 8 1
212 45 46 2 5 5
213 92 77 12 14 8
214 58 83 10 14 12
215 7 15 3 7 4
216 9 52 1 5 0
217 95 64 6 14 1
218 20 66 2 11 0
219 8 49 7 9 4
220 43 25 2 5 4
221 22 39 0 9 5
222 49 86 9 10 5
223 54 1 1 5 4
224 25 9 15 15 9
225 45 16 13 14 11
226 44 69 1 8 7
227 34 86 2 6 5
228 5 94 10 13 6
229 8 73 10 10 2
230 77 65 0 8 8
231 67 79 7 15 7
232 86 92 6 10 5
233 11 44 15 15 8
234 31 20 0 6 1
235 33 67 1 7 2
236 63 39 4 10 6
237 51 51 4 13 0
238 61 20 6 7 1
239 39 30 10 11 8
240 38 25 5 5 3
241 25 28 1 11 7
242 97 12 2 11 7
243 71 24 0 5 5
244 79 85 2 7 7
245 41 81 12 15 6
246 85 33 6 14 6
247 98 59 6 12 9
248 83 78 2 5 2
249 67 0 6 13 12
250 9 45 7 11 0
251 50 14 7 12 12
252 55 92 10 12 8
253 64 62 4 6 0
254 66 19 3 5 5
255 13 39 4 5 5
256 77 92 5 7 4
257 96 44 10 11 6
258 60 9 10 14 6
259 25 61 9 12 12
260 49 28 1 13 13
261 42 54 1 8 0
262 14 49 1 12 12
263 2 5 7 15 7
264 81 84 1 6 4
265 69 87 4 12 6
266 8 48 5 14 0
267 80 43 4 8 4
268 99 93 0 15 10
269 67 60 3 6 2
270 44 82 3 11 9
271 27 44 2 14 6
272 31 51 3 7 1
273 52 13 5 7 3
274 64 81 3 6 3
275 98 55 0 5 5
276 51 4 12 12 12
277 63 59 5 8 4
278 47 8 4 5 0
279 47 72 3 6 1
280 44 90 4 6 0
281 74 14 9 10 0
282 14 10 1 11 11
283 44 61 10 10 6
284 30 17 0 6 2
285 16 42 7 11 10
286 3 18 6 11 2
287 62 98 7 7 1
288 46 21 8 9 6
289 78 66 9 12 0
290 84 26 6 13 8
291 85 40 2 14 2
292 76 28 0 6 1
293 37 9 4 12 8
294 11 14 14 14 2
295 79 40 14 15 9
296 41 49 5 12 3
297 26 57 1 10 8
298 78 38 4 11 10
299 77 87 5 8 4
300 49 56 3 6 0
301 74 86 12 12 2
302 0 87 1 7 7
303 2 3 7 9 4
304 43 38 4 9 9
305 30 19 4 7 4
306 67 46 5 8 4
307 55 18 4 8 4
308 54 99 4 12 0
309 34 82 5 15 5
310 24 85 12 12 7
311 47 89 3 15 5
312 2 70 8 12 0
313 78 14 5 5 3
314 58 33 3 11 11
315 69 46 3 5 5
316 10 15 7 15 8
317 97 35 8 9 3
318 96 15 0 13 10
319 35 18 9 15 15
320 14 42 6 7 6
321 47 40 7 10 1
322 98 74 1 7 1
323 40 63 0 10 6
324 71 62 0 7 6
325 45 10 2 7 2
326 62 80 0 10 10
327 11 90 3 14 2
328 82 81 5 5 2
329 69 50 6 7 6
330 11 73 7 7 6
331 53 83 0 12 11
332 61 30 12 12 1
333 82 89 0 15 6
334 69 75 10 13 0
335 72 24 2 5 3
336 47 32 6 8 6
337 96 94 4 6 4
338 42 63 1 5 3
339 43 63 3 14 10
340 89 58 13 14 12
341 87 91 2 8 1
342 41 52 13 15 15
343 30 15 0 10 8
344 6 97 10 11 3
345 18 50 0 14 3
346 38 36 2 5 2
347 60 72 6 8 0
348 28 94 9 14 6
349 19 88 5 14 8
350 21 24 5 5 0
351 57 54 9 11 0
352 5 53 10 15 12
353 5 67 2 12 0
354 98 26 3 10 9
355 60 61 8 11 10
356 38 47 3 6 0
357 15 5 9 14 11
358 58 72 8 12 8
359 58 2 5 9 0
360 74 17 7 11 1
361 53 52 6 8 8
362 99 31 7 13 6
363 76 96 7 12 10
364 87 59 0 15 3
365 44 14 0 13 8
366 1 96 5 8 7
367 50 34 7 14 1
368 24 97 3 6 2
369 16 81 5 15 0
370 34 79 7 13 8
371 59 32 6 10 4
372 94 56 4 7 3
373 87 6 12 14 3
374 61 26 4 13 7
375 82 38 3 9 9
376 6 92 3 12 1
377 24 40 11 11 2
378 43 41 5 11 3
379 65 59 9 11 3
380 29 89 6 15 5
381 67 28 11 11 7
382 35 92 5 11 10
383 26 10 7 15 14
384 19 3 3 7 1
385 74 49 0 6 5
386 87 87 5 5 4
387 14 64 0 7 6
388 73 35 9 9 8
389 5 17 0 5 3
390 53 66 8 10 2
391 90 80 9 9 4
392 12 40 2 14 3
393 12 30 5 5 1
394 11 27 3 6 4
395 38 31 10 11 7
396 17 97 6 8 4
397 57 71 3 10 8
398 92 75 3 8 7
399 75 22 4 7 7
400 8 92 2 14 2
401 27 22 4 7 6
402 63 51 2 11 6
403 88 48 4 12 7
404 0 43 8 9 7
405 25 40 5 14 10
406 57 1 3 14 9
407 37 79 3 15 1
408 96 25 3 14 6
409 60 74 0 7 2
410 42 86 7 14 3
411 90 77 9 12 6
412 34 54 5 12 0
413 92 20 12 12 1
414 45 7 6 6 4
415 91 87 7 13 1
416 64 68 1 11 4
417 49 95 0 6 0
418 88 97 8 12 11
419 8 33 7 11 7
420 80 95 2 9 9
421 33 99 2 7 5
422 68 32 2 14 0
423 37 66 4 5 0
424 98 25 8 8 4
425 46 51 10 11 2
426 57 3 1 5 4
427 82 72 3 10 9
428 19 84 4 7 2
429 20 53 2 10 8
430 87 55 4 10 0
431 49 75 7 9 9
432 66 88 2 9 4
433 23 49 0 8 8
434 25 84 4 8 0
435 39 83 12 14 8
436 10 30 9 15 9
437 43 59 2 14 7
438 21 28 4 6 3
439 47 29 4 15 5
440 32 63 0 11 6
441 41 99 5 5 1
442 19 67 5 13 4
443 93 53 8 13 13
444 86 63 2 6 1
445 39 39 6 7 2
446 53 44 8 15 14
447 98 97 3 7 5
448 80 53 10 14 1
449 85 29 4 8 5
450 10 89 0 6 6
451 46 42 13 15 14
452 46 22 7 8 2
453 71 1 11 13 9
454 92 43 7 8 1
455 0 35 5 14 0
456 46 34 7 8 3
457 28 61 10 10 3
458 97 68 11 15 14
459 69 13 1 14 14
460 93 86 11 14 1
461 86 16 3 12 5
462 11 19 6 8 1
463 78 23 1 5 0
464 91 2 5 9 1
465 67 52 9 10 6
466 27 5 6 11 4
467 90 22 1 6 1
468 70 91 3 6 0
469 7 25 0 6 0
470 15 90 6 12 1
471 72 53 12 12 0
472 67 43 6 6 3
473 8 47 2 15 5
474 34 98 6 14 1
475 7 18 7 10 3
476 11 32 5 10 0
477 18 15 11 12 11
478 53 64 3 6 6
479 15 51 5 10 1
480 52 46 6 6 2
481 3 44 7 9 2
482 44 79 4 8 7
483 84 27 10 11 11
484 38 22 10 14 3
485 65 82 0 10 3
486 74 61 2 14 2
487 23 61 8 12 3
488 90 0 6 15 6
489 77 36 7 9 2
490 27 30 0 5 5
491 14 7 6 8 2
492 16 17 3 5 0
493 21 99 8 10 5
494 41 94 5 5 5
495 17 18 5 9 7
496 49 2 6 7 3
497 98 58 0 6 3
498 92 16 0 13 2
499 8 14 11 13 3
500 12 61 3 5 5
warehouse 19 74
